EssentialPIM 6.56  2015/11/19 1:08
09:29:00.700  5152  gbak:         writing column ID 
09:29:00.716  5152  gbak:         writing column DBVERSION 
09:29:00.731  5152  gbak:         writing column DBSUBVERSION 
09:29:00.731  5152  gbak:         writing column CRYPTOALG 
09:29:00.731  5152  gbak:         writing column DBVERSIONS 
09:29:00.731  5152  gbak:    writing table FIELDS 
09:29:00.731  5152  gbak:         writing column IDPARENT 
09:29:00.731  5152  gbak:         writing column IDFIELD 
09:29:00.731  5152  gbak:         writing column IDTABLE 
09:29:00.731  5152  gbak:         writing column IDUSER 
09:29:00.731  5152  gbak:         writing column VISIBLE 
09:29:00.731  5152  gbak:         writing column WIDTH 
09:29:00.731  5152  gbak:         writing column FIELDINDEX 
09:29:00.731  5152  gbak:    writing table GROUPS 
09:29:00.731  5152  gbak:         writing column IDCONTACT 
09:29:00.731  5152  gbak:         writing column IDPARENT 
09:29:00.731  5152  gbak:         writing column READACCESS 
